country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,oil_prod,uranium,reactor
Brelon,Duvalion,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 13 hours ago,rankings.php?subregion=con,,4 Hundred Tons per month,$333 million,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,20000 km 2,http://blocgame.com/stats.php?id=62812,209 Mbbl,2 Mbbl per month,,
Furyats,Furiandel,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 74 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,$331 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62801,,,,
Tonto,Phyton,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 73 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,$331 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=62804,,,,
SAUDI OPEC,OPEC,,18k active personnel,0 ships,Finest of the 19th century,Good,None,Poor,last online 24 hours ago,rankings.php?subregion=ara,,3 Hundred Tons per month,$331 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=62838,,11 Mbbl per month,,
Kashmir,Hereno,,30k active personnel,0 ships,First World War surplus,Nice,None,Undisciplined Rabble,last online 84 hours ago,rankings.php?subregion=sub,,4 Hundred Tons per month,$330 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=2681,167 Mbbl,1 Mbbl per month,,
Corporate Union,Marcus Finch,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 73 hours ago,rankings.php?subregion=egy,,2 Hundred Tons per month,$330 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=62805,,1 Mbbl per month,,
Chepir,Sultan Zoul VII,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 27 hours ago,rankings.php?subregion=ind,,3 Hundred Tons per month,$330 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62835,,1 Mbbl per month,,
Larsia,Miguel,,24k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,online now,rankings.php?subregion=mex,,7 Hundred Tons per month,$328 million,,Mesoamerica,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mex,21189 km 2,http://blocgame.com/stats.php?id=62782,,1 Mbbl per month,,
MalBru,MalBru,http://blocgame.com/alliancestats.php?allianceid=1899,5k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 93 hours ago,rankings.php?subregion=pac,Aseang MMP,9 Hundred Tons per month,$327 million,alliancestats.php?allianceid=1899,Pacific Rim,,Meagre,http://blocgame.com/rankings.php?subregion=pac,15498 km 2,http://blocgame.com/stats.php?id=62452,,4 Mbbl per month,,
Congo Nazism,Ma5ter,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 145 hours ago,rankings.php?subregion=congo,,2 Hundred Tons per month,$326 million,,Congo,Untapped,None,http://blocgame.com/rankings.php?subregion=congo,20000 km 2,http://blocgame.com/stats.php?id=62684,120 Mbbl,1 Mbbl per month,,
ASSAD,AL BEY,,10k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 71 hours ago,rankings.php?subregion=waf,,2 Hundred Tons per month,$326 million,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,19602 km 2,http://blocgame.com/stats.php?id=62793,422 Mbbl,1 Mbbl per month,,
Gomp,General Gomp,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 4 hours ago,rankings.php?subregion=mes,,2 Hundred Tons per month,$325 million,,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,20398 km 2,http://blocgame.com/stats.php?id=62732,2696 Mbbl,2 Mbbl per month,,
Empayar prima,Erosin,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 61 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,$325 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62820,,,,
Jenin,Johnjenin,,8k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 152 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,$324 million,,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,16172 km 2,http://blocgame.com/stats.php?id=62399,,2 Mbbl per month,,
shpees,flyingshpeeghettimonster,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 71 hours ago,rankings.php?subregion=mes,,2 Hundred Tons per month,$324 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=62797,,,,
Caliphia,supermaster2,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 74 hours ago,rankings.php?subregion=ara,,3 Hundred Tons per month,$324 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=62802,,3 Mbbl per month,,
Yamirka,LuckyX1,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 74 hours ago,rankings.php?subregion=sub,,2 Hundred Tons per month,$324 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=62803,,,,
Ameri�o,Valentino Gerardi,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 90 hours ago,rankings.php?subregion=car,,2 Hundred Tons per month,$323 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=62778,,,,
Duke Fishron,Ataul The Almighty,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 86 hours ago,rankings.php?subregion=ara,,2 Hundred Tons per month,$323 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=62788,,,,
walpak,cubchai,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 84 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,$323 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62794,,,,
Supres,tandemrecruit,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 66 hours ago,rankings.php?subregion=car,,2 Hundred Tons per month,$323 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=62811,,,,
Grenada,KPFL81,,30k active personnel,0 ships,Finest of the 19th century,Nice,None,Undisciplined Rabble,last online 63 hours ago,rankings.php?subregion=car,,2 Hundred Tons per month,$323 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=62817,,,,
shair,shair,,28k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 1 hours ago,rankings.php?subregion=ind,,7 Hundred Tons per month,$322 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62199,,3 Mbbl per month,,
Delcona,sumit13,,29k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 74 hours ago,rankings.php?subregion=sub,,2 Hundred Tons per month,$322 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=62790,,,,
Iron Islands,Theon,,23k active personnel,0 ships,First World War surplus,Questionable,None,Elite,last online 10 hours ago,rankings.php?subregion=mex,,2 Hundred Tons per month,$322 million,,Mesoamerica,Untapped,None,http://blocgame.com/rankings.php?subregion=mex,20000 km 2,http://blocgame.com/stats.php?id=62815,273 Mbbl,1 Mbbl per month,,
Estovakia,a_white_man,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 159 hours ago,rankings.php?subregion=pac,,3 Hundred Tons per month,$321 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=40682,161 Mbbl,1 Mbbl per month,,
fotamorgana,nadim,,3k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,online now,rankings.php?subregion=ind,,3 Hundred Tons per month,$321 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,19800 km 2,http://blocgame.com/stats.php?id=62833,285 Mbbl,1 Mbbl per month,,
ChezoSlovakia,Buffalo9876,http://blocgame.com/alliancestats.php?allianceid=2020,25k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 107 hours ago,rankings.php?subregion=per,IRASP,2 Hundred Tons per month,$320 million,alliancestats.php?allianceid=2020,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=62739,,2 Mbbl per month,,
Fatpanic,bigtrain003,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 105 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,$320 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62755,,,,
W.M Knights,Cholakari,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 102 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,$320 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62756,,,,
mas07,kaywan,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 100 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,$320 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62761,,,,
Crasta,Clary,,25k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 96 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,$320 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62768,,,,
Psilocybis,Lysergix,,20k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 1 hours ago,rankings.php?subregion=per,,5 Hundred Tons per month,$320 million,,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=62795,3580 Mbbl,3 Mbbl per month,,
Dredd\\\'s,Dredd,,31k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 3 hours ago,rankings.php?subregion=mes,,5 Hundred Tons per month,$320 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=62798,2809 Mbbl,7 Mbbl per month,,
Meep,Lupa,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 57 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,$320 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62829,,,,
Bunga Malaya,Tun Adam Z,,4k active personnel,0 ships,First World War surplus,Normal,None,Undisciplined Rabble,last online 124 hours ago,rankings.php?subregion=ind,,4 Hundred Tons per month,$319 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,7256 km 2,http://blocgame.com/stats.php?id=61824,,2 Mbbl per month,,
Lequeefia,Niggy Tardust,,22k active personnel,0 ships,First World War surplus,Questionable,1 factory,Standard,last online 12 hours ago,rankings.php?subregion=waf,,3 Hundred Tons per month,$319 million,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,20000 km 2,http://blocgame.com/stats.php?id=62748,337 Mbbl,1 Mbbl per month,,
Segamat,Dr Mikael,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 34 hours ago,rankings.php?subregion=sea,,3 Hundred Tons per month,$319 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=62858,,2 Mbbl per month,,
Cuckoldery,Taintednight,,32k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 135 hours ago,rankings.php?subregion=ara,,3 Hundred Tons per month,$318 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=62700,2110 Mbbl,4 Mbbl per month,,
SettingMoon,Hawk,http://blocgame.com/alliancestats.php?allianceid=2027,18k active personnel,0 ships,Finest of the 19th century,Good,None,Good,online now,rankings.php?subregion=ind,Farmington Brigade,5 Hundred Tons per month,$318 million,alliancestats.php?allianceid=2027,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62839,254 Mbbl,2 Mbbl per month,,
Galveston,PMoney398,http://blocgame.com/alliancestats.php?allianceid=2026,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 41 hours ago,rankings.php?subregion=mex,TheAccountantRevenge,2 Hundred Tons per month,$318 million,alliancestats.php?allianceid=2026,Mesoamerica,Untapped,None,http://blocgame.com/rankings.php?subregion=mex,20000 km 2,http://blocgame.com/stats.php?id=62848,,,,
Lunar republic,whitechainsaw,,6k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 114 hours ago,rankings.php?subregion=waf,,3 Hundred Tons per month,$317 million,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,16172 km 2,http://blocgame.com/stats.php?id=62734,150 Mbbl,,,
groningen,ricardo bos,,7k active personnel,0 ships,First World War surplus,Pariah,None,Elite,online now,rankings.php?subregion=car,,3 Hundred Tons per month,$317 million,,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=62842,,1 Mbbl per month,,
Westfalia,Kaiser Wisselmann,,7k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 87 hours ago,rankings.php?subregion=ama,,2 Hundred Tons per month,$316 million,,Amazonia,Untapped,None,http://blocgame.com/rankings.php?subregion=ama,16335 km 2,http://blocgame.com/stats.php?id=62786,,,,
Shrekistan,Marty McShrek,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 115 hours ago,rankings.php?subregion=atl,,2 Hundred Tons per month,$315 million,,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,20000 km 2,http://blocgame.com/stats.php?id=9975,,,,
Salloway,Wenke,http://blocgame.com/alliancestats.php?allianceid=2021,25k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 107 hours ago,rankings.php?subregion=mes,Double Trouble,2 Hundred Tons per month,$315 million,alliancestats.php?allianceid=2021,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=62749,,,,
Notwhitestan,Rafa-el,,25k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 107 hours ago,rankings.php?subregion=con,,2 Hundred Tons per month,$315 million,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,20000 km 2,http://blocgame.com/stats.php?id=62751,,,,
NovaCrosser,General Kozio,,25k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 44 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,$315 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=62843,,,,
Phaeacians,faiakas,http://blocgame.com/alliancestats.php?allianceid=2029,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 40 hours ago,rankings.php?subregion=atl,IONIAN,3 Hundred Tons per month,$315 million,alliancestats.php?allianceid=2029,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,20000 km 2,http://blocgame.com/stats.php?id=62852,2696 Mbbl,,,
Bambule,Bambule,,22k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 39 hours ago,rankings.php?subregion=car,,2 Hundred Tons per month,$315 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=62853,,,,
Redillion,Redel,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 36 hours ago,rankings.php?subregion=chi,,2 Hundred Tons per month,$315 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=62856,,,,
Nigerian Scams,Alyusi Islassis,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 35 hours ago,rankings.php?subregion=waf,,3 Hundred Tons per month,$315 million,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,20000 km 2,http://blocgame.com/stats.php?id=62857,,1 Mbbl per month,,
Kogiume,rags,http://blocgame.com/alliancestats.php?allianceid=2030,17k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 25 hours ago,rankings.php?subregion=gui,Free rights,2 Hundred Tons per month,$315 million,alliancestats.php?allianceid=2030,Guinea,Untapped,None,http://blocgame.com/rankings.php?subregion=gui,20000 km 2,http://blocgame.com/stats.php?id=62869,,,,
Volco,Bull3tM0nk3y,,20k active personnel,0 ships,First World War surplus,Nice,None,Standard,last online 20 hours ago,rankings.php?subregion=pac,,3 Hundred Tons per month,$314 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62819,,,,
Elmina,Elmina,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 56 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,$314 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62830,,,,
Oisovia,Oisin,,25k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 43 hours ago,rankings.php?subregion=waf,,2 Hundred Tons per month,$314 million,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,20000 km 2,http://blocgame.com/stats.php?id=62847,,,,
Zexeria,Jarvis Alexander,,19k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 134 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,$313 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62702,,,,
Novaya,ScarletMarines,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,online now,rankings.php?subregion=pac,,3 Hundred Tons per month,$313 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62840,,1 Mbbl per month,,
nateberokmung,ahmadmaslan,,68k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 21 hours ago,rankings.php?subregion=atl,,6 Hundred Tons per month,$312 million,,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,20000 km 2,http://blocgame.com/stats.php?id=62107,,26 Mbbl per month,,
Khalifah,Appi jaafar,,29k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 4 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,$312 million,,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62665,,2 Mbbl per month,,
Liszonia,Liszon,,48k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=atl,,9 Hundred Tons per month,$312 million,,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,20000 km 2,http://blocgame.com/stats.php?id=62783,5973 Mbbl,10 Mbbl per month,,
SOPF,Johnathinski Weston,http://blocgame.com/alliancestats.php?allianceid=2027,19k active personnel,0 ships,First World War surplus,Normal,None,Elite,online now,rankings.php?subregion=ind,Farmington Brigade,6 Hundred Tons per month,$312 million,alliancestats.php?allianceid=2027,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62841,,3 Mbbl per month,,
Panthia,Thomas Jenkins,http://blocgame.com/alliancestats.php?allianceid=1386,29k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 15 hours ago,rankings.php?subregion=con,Che Guevara League,3 Hundred Tons per month,$312 million,alliancestats.php?allianceid=1386,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,20000 km 2,http://blocgame.com/stats.php?id=62855,105 Mbbl,,,
Chebaa,MoustaphaS,,7k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 23 hours ago,rankings.php?subregion=mes,,2 Hundred Tons per month,$311 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,19800 km 2,http://blocgame.com/stats.php?id=62871,,,,
Nudnut,Mrc26,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 28 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,$310 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62863,,,,
Khudiatress,PashaKhud,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 3 hours ago,rankings.php?subregion=chi,,3 Hundred Tons per month,$310 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=62865,464 Mbbl,1 Mbbl per month,,
K19,Haizat19,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 27 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,$310 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=62866,,,,
sponges,sponge01,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 27 hours ago,rankings.php?subregion=ara,,2 Hundred Tons per month,$310 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=62867,,,,
Guerilla 97,Mohd Syakir Irfan,,25k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 12 hours ago,rankings.php?subregion=ind,,3 Hundred Tons per month,$310 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62872,464 Mbbl,,,
Cz�stochowa,mariomenadzer,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 22 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,$310 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=62873,,,,
temasik,lawrence,,17k active personnel,0 ships,First World War surplus,Questionable,None,Elite,online now,rankings.php?subregion=ind,,2 Hundred Tons per month,$309 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20200 km 2,http://blocgame.com/stats.php?id=62827,,1 Mbbl per month,,
Newport High,Astalavista,,24k active personnel,0 ships,Finest of the 19th century,Normal,None,Elite,last online 3 hours ago,rankings.php?subregion=sub,,3 Hundred Tons per month,$309 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=62860,112 Mbbl,1 Mbbl per month,,
trumps soup,trumps soup,http://blocgame.com/alliancestats.php?allianceid=1595,75k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 7 hours ago,rankings.php?subregion=mes,The High Council,2 Hundred Tons per month,$308 million,alliancestats.php?allianceid=1595,Mesopotamia,Plentiful,Small,http://blocgame.com/rankings.php?subregion=mes,20200 km 2,http://blocgame.com/stats.php?id=62578,,2 Mbbl per month,,
Carmin,What_me,,22k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 27 hours ago,rankings.php?subregion=ara,,2 Hundred Tons per month,$308 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=62862,,,,
Kamerun,StuningStar,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 24 hours ago,rankings.php?subregion=eaf,,3 Hundred Tons per month,$308 million,,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,20000 km 2,http://blocgame.com/stats.php?id=62870,,,,
Vorela,Xayed Paramaro,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 122 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,$307 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62718,,,,
Taman Ria Jaya,Eagle Auditore,,27k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,rankings.php?subregion=atl,,5 Hundred Tons per month,$307 million,,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,20000 km 2,http://blocgame.com/stats.php?id=62726,3025 Mbbl,7 Mbbl per month,,
Dowa,NickPauwels,,2k active personnel,0 ships,Finest of the 19th century,Normal,None,Elite,last online 21 hours ago,rankings.php?subregion=egy,,3 Hundred Tons per month,$307 million,,Egypt,,Meagre,http://blocgame.com/rankings.php?subregion=egy,19609 km 2,http://blocgame.com/stats.php?id=62844,3268 Mbbl,8 Mbbl per month,,
Labuair,Kultur mayor,,35k active personnel,0 ships,First World War surplus,Questionable,None,Standard,last online 2 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,$306 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=62573,,,,
neutron,Syahrulisme,http://blocgame.com/alliancestats.php?allianceid=2023,27k active personnel,0 ships,Finest of the 19th century,Angelic,None,Poor,last online 95 hours ago,rankings.php?subregion=ind,NAI,2 Hundred Tons per month,$306 million,alliancestats.php?allianceid=2023,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62767,,,,
Kizetra,LordOfKhaos,,27k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 38 hours ago,rankings.php?subregion=egy,,2 Hundred Tons per month,$306 million,,Egypt,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=egy,20200 km 2,http://blocgame.com/stats.php?id=62849,,,,
Tsimshianland,Cole Anderson,,22k active personnel,0 ships,Finest of the 19th century,Good,None,Poor,last online 39 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,$306 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=62854,,,,
Terra Predonum,roseclare0000,,19k active personnel,0 ships,Finest of the 19th century,Pariah,None,Standard,last online 12 hours ago,rankings.php?subregion=gra,,4 Hundred Tons per month,$306 million,,Gran Colombia,Untapped,None,http://blocgame.com/rankings.php?subregion=gra,20000 km 2,http://blocgame.com/stats.php?id=62885,,,,
Greaseland,Gadari Umari,,25k active personnel,0 ships,First World War surplus,Questionable,None,Elite,last online 9 hours ago,rankings.php?subregion=per,,2 Hundred Tons per month,$305 million,,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,20398 km 2,http://blocgame.com/stats.php?id=62874,1099 Mbbl,1 Mbbl per month,,
